Year,United States,Russia,Iran,China,Canada,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Cameroon,Chile,Colombia,Congo,Cote d'Ivoire,Croatia,Cuba,Czechia,Czechoslovakia,Denmark,East Timor,Ecuador,Egypt,Equatorial Guinea,France,Gabon,Georgia,Germany,Ghana,Greece,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Libya,Malaysia,Mexico,Moldova,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Qatar,Romania,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,Vietnam,World,Yemen,Yugoslavia
1943,3.92456124,,0,0,0.050676343,0,0,0,0,0.021133162,0,0,,0,0,0,,0,0,,0,0,0,,0,0.026388654,,,,,,0,0,,0.002485727,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001625595,,,0,,0,0,0.039839576,,0,,0,0,0,0,0,0,0,,0,,0.00868197,0,0.06264482,0,,,,,,0,0.007996733,0,0,0,,,0,0.015155867,0,0,,0.11965199,0,0,0,,0.034594722,,4.31543628,,0
1944,4.14561888,,0,0,0.052877624,0,0,0,0,0.021373409,0,0,,0,0,0,,0,0,,0,0,0,,0,0.026936219,,,,,,0,0,,0.002610977,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001571408,,,0,,0,0,0.040033242,,0,,0,0,0,0,0,0,0,,0,,0.007344675,0,0.059654052,0,,,,,,0,0.008232497,0,0,0,,,0,0.015900921,0,0,,0.126293796,0,0,0,,0.035073335,,4.54352076,,0
1945,4.36667616,,0,0,0.055078902,0,0,0,0,0.021613656,0,0,,0,0,0,,0,0,,0,0,0,,0,0.027483786,,,,,,0,0,,0.002736227,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001517222,,,0,,0,0,0.040226908,,0,,0,0,0,0,0,0,0,,0,,0.006007379,0,0.056663291,0,,,,,,0,0.008468261,0,0,0,,,0,0.016645976,0,0,,0.132935627,0,0,0,,0.035551948,,4.77160524,,0
1946,4.5877338,,0,0,0.05728018,0,0,0.003033337,0,0.021853903,0,0.001840074,,0,0,0,,0,0,,0.000375284,0.001280065,0,,0,0.028031352,,,,,,0,0,,0.002861477,0,,0.004237554,,,0.008447753,,0,0.003745641,0,0,0,0,0,0.002455899,0.001463035,,,0,,0,0,0.040420573,,0,,0,0,0,0,0,0,0,,0,,0.004670085,0,0.053672533,0,,,,,,0,0.008704025,0,0,0.001647517,,,0,0.017391033,0,0,,0.139577436,0,0,0,,0.03603056,,5.02698996,,0.000237235
1947,5.06164752,,0,0,0.062982853,0,0,0.003033337,0,0.022510291,0,0.002120086,,0,0,4.34E-05,,0,0,,4.17E-05,0.001142915,0,,0,0.025454275,,,,,,0,0,,0.003771947,0,,0.011171732,,,0.006045181,,0,0.00415725,0,0.001040537,0,0,0,0.003607101,0.001584955,,,0,,0,0,0.049342979,,0,,0,3.52E-05,0,0,0,0,0,,0,,0.004638742,0,0.047386559,0,,,,,,0,0.009266972,0,0,0.000997181,,,0,0.017607338,0,0,,0.170842799,0,0,0,,0.050613286,,5.56156044,,0.00047447
1948,5.68688724,,0,0,0.069445886,0,0,0.003121259,0,0.017259177,0,0.00964039,,0,0,8.67E-05,,0,0,,0.000125095,0.001645798,0,,0,0.015778939,,,,,,0,0,,0.004595705,0,,0.01379131,,,0.005192655,,0,0.013171486,0,0.015998256,0,0,0,0.00448969,0.002072633,,,0,,0,0,0.051749953,,0,,0,0.000210995,0,0,0,0,0,,0,,0.004920827,0,0.094531352,0,,,,,,0,0.010133044,0,0,0.000823758,,,0,0.020116492,0,0,,0.18870871,0,0,0,,0.052811914,,6.28766532,,0.000355853
1949,5.98739472,,0,0,0.072318341,0,0,0.003165221,0,0.025637792,0,0.002160087,,0,0,8.67E-05,,0,0,,0.000208491,0,0,,0.000165607,0.022334657,,,,,,0,0,,0.004725773,0,,0.018799327,,,0.004185125,,0,0.015311853,0,0.025623224,0,0,0,0.009554981,0.002357113,,,0,,0,0,0.052704443,,0,,0,0.000246161,0,0,0,0,0,,0,,0.004262628,0,0.190190959,0,,,,,,0,0.011085723,0,0,0.000823758,,,0,0.021154763,0,0,,0.195036217,0,0,0,,0.048863358,,6.71871312,,0.000316314
1950,6.93963,,0,0,0.081146923,0,0,0.003297105,0,0.029151407,0,0.018800761,,0,0,8.67E-05,,0.002404122,0,,0.000208491,0,0,,0.008238972,0.023058047,,,,,,0.001421021,0,,0.005722954,0,,0.020263209,,,0.005270158,,0,0.015682302,0,0.026923896,0,0,0,0.019570442,0.002804151,,,0,,0,0,0.038179598,,0,,8.67E-05,0.000281327,0,0,0,0,0,,0.016287699,,0.005735742,0,0.13067568,0,,,,,,0,0.011562063,0,0,0.001040537,,,0,0.020549105,4.34E-05,0,,0.214428168,0,0,3.88E-05,,0.050119718,,7.69188168,,0.000593088
1951,8.23762692,,0,0,0.095044543,0,0.000216779,0.003516912,0,0.032047243,0,0.019320782,,0,0,0.000130067,,0.004313277,0,,0.000333586,0.00228583,0,,0.005920467,0.022108598,,,,,,0.003110885,0,,0.006590068,0,,0.023113928,,,0.006432692,,0,0.016670164,0,0.034034234,0,0,0,0.037068721,0.003373109,,,0,,0,0,0.054364428,,0,,8.67E-05,0.000316493,0,0,0,0,0,,0.016488781,,0.00868197,0,0.162992038,0,,,,,,0,0.011951796,0,0,0.00091047,,,0,0.020376059,8.67E-05,0,,0.232703496,0,0,0,,0.06461271,,9.12423348,,0.00051401
1952,8.85182616,,0,0,0.106069716,0,0.000216779,0.003560873,0,0.034672799,0,0.017920724,,0,0,0.000173423,,0.004383987,0,,0.000291887,0.00228583,0,,0.00244271,0.009223219,,,,,,0.004800748,0,,0,0,,0.022381986,,,0.007440223,,0,0.020580448,0,0.046347253,0,0,0,0.054989107,0.003698229,,,0,,0,0,0.05975937,,0,,0.000130067,0.00101981,0,0,0,0,0,,0.016488781,,0.009810312,0,0.199579608,0,,,,,,0,0.013034386,0,0,0.000737047,,,0,0.02067889,0.000130067,0,,0.237616632,0,0,0,,0.078612127,,9.82665612,,0.000553549
1953,9.276039,,0,0,0.120812173,0,0.000433557,0.003692758,0,0.026950572,0,0.022200898,,0,0,0.000173423,,0.003889021,0,,0.001125851,0.002697279,0,,0.002898131,0.021882539,,,,,,0.006452205,0,,0,0,,0.020186163,,,0.008060242,,0,0.022597332,0,0.059223895,0,0,0,0.08749139,0.004470386,,,0,,0,0,0.05975937,,0.000173423,,0.000216779,0.00305943,0,0,0,0,0,,0.016488781,,0.009998369,0,0.225448812,0,,,,,,0,0.013813851,0,0,0.000867114,,,0,0.021673899,0.000130067,0,,0.25563145,0,0,0.000349054,,0.097457497,,10.390842,,0.000948941
